sub,ses,task,acq,space,den,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,nVolCensored,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal
20649,11287,fracback,singleband,fsLR,91k,0.1615875372121212,0.1010905163913043,1.284,165.48967883752343,45.08173779269334,0.0,0,0.6599613524488344,-0.1548614775342076
20699,11303,fracback,singleband,fsLR,91k,0.0627541648350743,0.0358867323913043,0.485254,107.92569430849908,36.16082422623273,0.0,0,0.6276766305945202,-0.2162792307657935
20809,11307,fracback,singleband,fsLR,91k,0.1410097818427706,0.0821528363913043,1.04272,147.14278696930188,44.90289743314154,0.0,0,0.923730170672294,0.1842729788100359
20888,11364,fracback,singleband,fsLR,91k,0.0509260647619048,0.027286467173913,0.116573,103.03958095416948,38.2416741322205,0.0,0,0.5290094045091318,0.1040288034099723
20940,11401,fracback,singleband,fsLR,91k,0.2716303467542007,0.1542073682608696,1.52975,145.66643773276377,43.032435322812894,0.0,0,0.8472225664271337,0.0745585172281811
20941,11403,fracback,singleband,fsLR,91k,0.1528121995168832,0.0901823050434782,0.968852,123.714434976728,41.55214894689448,0.0,0,0.8935245263262356,0.1339629390294398
20949,11422,fracback,singleband,fsLR,91k,0.116374026882251,0.0685834366086956,1.3408000000000002,132.7628705014866,41.95101840116847,0.0,0,0.939885539159474,0.3605240685112671
20963,11414,fracback,singleband,fsLR,91k,0.090320894621212,0.0506972513913043,0.397532,130.05236762590715,37.772721410627206,0.0,0,0.7654880913176904,0.0766306580363513
20974,11415,fracback,singleband,fsLR,91k,0.2539656285714286,0.1590707536956522,3.99465,161.19505609848943,39.82110853627628,0.0,0,0.9147757054301296,-0.070087056271846
20981,11462,fracback,singleband,fsLR,91k,0.1549264622857143,0.0916923182608695,0.694077,95.53626178435088,30.48766157027418,0.0,0,0.7136694577791344,0.0341014180441318
21016,11431,fracback,singleband,fsLR,91k,0.1737972847489177,0.09629517,0.5805600000000001,118.9196833114722,38.451516144695205,0.0,0,0.7742111259345639,0.2485948079668076
21056,11447,fracback,singlebandVARIANTNumVolumes,fsLR,91k,0.0664356636022094,0.0362814058888888,0.218629,95.57506960499376,27.59331114195166,0.0,0,0.4265966705451059,-0.0880211027704199
21059,11445,fracback,singleband,fsLR,91k,0.2306343458961038,0.1440971456521739,1.35472,100.38735371985032,31.41068226048054,0.0,0,0.899673559487676,0.2782175439667304
