,sub,ses,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
157,106331,10587,0.219420657,0.002935708,0.966919201,0.935956995,0.958329961,1,0.923485789,0.85784821,0.905832101,0.977416834,0.000531256,0,0,0,0,453.219953,300.1065377,1.510196867,0.104340568,0,0,0,0
158,92182,10905,0.204993512,0.000776608,1,1,1,1,0.970671788,0.943014849,0.962478148,0.972879919,0.465351924,0,0,0,0,695.1606527,568.8689402,1.222004936,0,0,0,0,0
159,94848,10121,0.143033444,0.002475737,0.998102221,0.996211632,0.997697041,1,0.979575267,0.959968172,0.973874688,0.987309193,0.859590628,0,0,0,0,44.0399726,34.43914571,1.278776569,0.099601594,0,0,0,0
160,87990,9995,0.210160485,0.00320789,0.790625883,0.653747978,0.773287591,1,0.683094181,0.518711491,0.672244929,0.985858036,0.482730904,0,0,0,0,24.78562456,25.047689,0.98953738,0.361046058,0,0,0,0
161,88760,11150,0.198969665,0.000633925,0.984275852,0.969038546,0.98041427,1,0.965551641,0.933397624,0.956040005,0.970814027,1.50E-05,0,0,0,0,698.6839114,443.3414815,1.575949783,0.017398869,0,0,0,0
162,107055,11231,0.243972713,0.000964576,0.992768215,0.985640277,0.990796411,1,0.94661698,0.898644616,0.93296238,0.975610524,0.036994612,0,0,0,0,424.3134937,379.1610342,1.119085179,0.019273393,0,0,0,0
163,131867,10669,0.124673265,0.00168232,0.983050191,0.966665397,0.979113399,1,0.945296974,0.896268381,0.931384431,0.975766958,0.360053569,0,0,0,0,558.971973,382.4818925,1.46143382,0.08683068,0,0,0,0
164,20387,11165,0.244893328,0.000834306,0.99461562,0.989288913,0.993191699,1,0.96767965,0.9373831,0.958800919,0.974951366,0.102138705,0,0,0,0,564.3375397,425.9610028,1.32485729,0,0,0,0,0
165,93723,10956,0.384782397,0.005317381,0.99776,0.995530013,0.997152094,1,0.975262526,0.951719393,0.968360436,0.985278155,1.41E-10,0,0,0,0,30.52259142,42.45116876,0.719004737,47.50352858,0,0,0,0
166,20809,11307,10.24887489,0.001736077,0.829333333,0.708428246,0.83659013,1,0.781812136,0.641782897,0.747845195,0.932745599,3.56E-23,0,0,0,0,2978.091342,3158.292667,0.942943437,5.617408907,0,0,0,0
167,105168,10761,0.119634602,0.000765747,0.991773423,0.983681094,0.989578845,1,0.96737107,0.936804153,0.95832712,0.970751869,0.477674203,0,0,0,0,402.2381343,275.1590647,1.461838572,0.083240844,0,0,0,0
168,116019,10078,0.173590598,0.002051568,0.982487867,0.965578527,0.978164438,1,0.956134499,0.915955646,0.944603093,0.977294061,0.798316591,0,0,0,0,44.11611005,33.86100558,1.302858828,0.2066319,0,0,0,0
